employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,campus_code,program_shift
<000011>,DMC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000012>,DMC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DMC,Morning
<000013>,DMC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000014>,DMC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000015>,DMC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000054>,DDC-Zahir,Ahmed,<->,,,03/01/2019,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,D,DDC,Morning
<000056>,DDC-Saad,Munshi,<->,<->,,03/01/2019,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,A,DDC,Morning
<000051>,DDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC,Morning
<000052>,DDC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC,Morning
<000053>,DDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DDC,Morning
<000055>,DDC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC,Morning
<000057>,DDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DDC,Morning
<000060>,DDC-Kashif,Manzoor,<->,<->,,01/10/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DDC,Morning
<000061>,DDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DDC,Morning
<000062>,DDC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DDC,Morning
<000064>,DDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC,Morning
<000066>,DDC-Kashif,Manzoor,<->,<->,,01/10/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC,Morning
<000067>,DDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DDC,Morning
<000124>,DIDC-Zahir,Ahmed,<->,,,03/01/2019,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DIDC,Morning
<000126>,DIDC-Saad,Munshi,<->,<->,,03/01/2019,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DIDC,Morning
<000122>,DIDC-Kashif,Manzoor,<->,<->,,01/10/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DIDC,Morning
<000132>,DIDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DIDC,Morning
<000141>,DIDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DIDC,Morning
<000150>,DIDC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DIDC,Morning
<000161>,DIDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DIDC,Morning
<000162>,DIDC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DIDC,Morning
<000163>,DIDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DIDC,Morning
<000167>,DIDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DIDC,Morning
<000168>,DIDC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DIDC,Morning
<000169>,DIDC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DIDC,Morning
