employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,other_leaves,leave_type01,leave_type02,leave_type03,leave_type04,leave_type05,leave_type06,leave_type07,leave_type08,leave_type09,leave_type10,leave_type11,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,gender,campus_code,program_shift
<090194>,DMC-ooNineo,Ahmed,<->,,,03/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,3,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090195>,DMC-ooNineo,Ahmed,<->,,,03/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,3,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090196>,DMC-ooNineo,Ahmed,<->,,,03/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,3,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090170>,DMC-ooSevo,Ahmed,<->,,,03/12/2020,,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090171>,DMC-ooSevo,Mirza,<->,<->,,03/12/2020,,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Lecturer>,<NOT ASSIGNED>,<NOT ASSIGNED>,<B>,1,TRUE,1,0,0,0,0,9,0,0,0,0,11,0,0,0,0,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,female,DMC,Morning
<090172>,DMC-ooSevo,Saeed,<->,,345456443,03/12/2020,,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<B>,1,TRUE,0,3,0,10,0,0,0,0,0,0,10,0,0,0,0,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,female,DMC,Morning
<090181>,DMC-ooEighto,Manzoor,<->,<->,,03/11/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<NOT ASSIGNED>,1,TRUE,0,0,3,0,0,0,0,0,0,0,11,0,0,0,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090182>,DMC-ooEighto,Shah,<->,,345456443,03/11/2020,,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<NOT ASSIGNED>,1,TRUE,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,<->,DMC,Morning
<090183>,DMC-ooEighto,Ahmed,<->,,,03/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090184>,DMC-ooEighto,Ahmed,<->,,,03/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090197>,DMC-ooNineo,Ahmed,<->,,,03/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090198>,DMC-ooNineo,Ahmed,<->,,,03/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
