employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,campus_code
<000054>,DDC-Zahir,Ahmed,inayat68@gmail.com,,,01/17/2018,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,5,6,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,D,DDC
<000066>,DDC-Saad,Munshi,inayat68@gmail.com,abc street,,08/27/2017,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,A,DDC
<000051>,DDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DDC
<000052>,DDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2016,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DDC
<000053>,DDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2016,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DDC
<000055>,DDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2018,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DDC
<000057>,DDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2017,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DDC
<000060>,DDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,,DDC
<000061>,DDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2018,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DDC
<000062>,DDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2018,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,,DDC
<000064>,DDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2017,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DDC
<000066>,DDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DDC
<000067>,DDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2017,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DDC
<000124>,DIDC-Zahir,Ahmed,inayat68@gmail.com,,,01/17/2018,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,5,6,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,D,DIDC
<000126>,DIDC-Saad,Munshi,inayat68@gmail.com,abc street,,08/27/2017,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,A,DIDC
<000122>,DIDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DIDC
<000132>,DIDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2018,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DIDC
<000141>,DIDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2016,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DIDC
<000150>,DIDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2018,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,,DIDC
<000161>,DIDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2017,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DIDC
<000162>,DIDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2016,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DIDC
<000163>,DIDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2016,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DIDC
<000167>,DIDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2018,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DIDC
<000168>,DIDC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2016,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DIDC
<000169>,DIDC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2015,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DIDC
